Inactive Keff:
Cycle       Keff
    1        0.667
    2     0.881559
    3      1.08929
    4     0.942233
    5     0.984258
    6     0.999158
    7     0.988206
    8       1.0162
    9      1.01091
   10     0.945228
   11       1.0676
   12      1.03125
   13     0.976874
   14      1.01714
   15      1.00803
   16     0.964968
   17     0.981848
   18     0.984034
   19      1.07173
   20     0.917131
Active cycle Keff:
Cycle       Keff         Average           St.d
Cell  64:  120.014       0.015741
Cell  65:  121.669       0.0154575
Cell  66:  123.304       0.0132437
Cell  67:  128.042       0.0151029
Cell  68:   131.88        0.01413
Cell  69:   134.49       0.0149917
Cell  70:  139.027       0.0161608
Cell  71:  142.312       0.0154327
Cell  72:  142.285       0.0137409
Cell  73:    142.7       0.0130604
Cell  74:  145.004       0.0159056
Cell  75:  147.645       0.0137478
Cell  76:  148.323       0.0141189
Cell  77:  147.094       0.0128025
Cell  78:  150.184       0.0117826
Cell  79:  151.001       0.0121922
Cell  80:  151.699       0.0135064
Cell  81:  149.117       0.0141904
Cell  82:  147.735       0.013352
Cell  83:  150.034       0.0134637
Cell  84:  148.952       0.0123636
Cell  85:  148.193       0.0124066
Cell  86:   146.82       0.0112472
Cell  87:  146.427       0.0127639
Cell  88:  145.778       0.0148097
Cell  89:   147.41       0.0167234
Cell  90:  142.781       0.0161003
Cell  91:  142.895       0.015137
Cell  92:  138.213       0.0129066
Cell  93:  134.886       0.015043
Cell  94:  132.975       0.0127436
Cell  95:  130.814       0.016315
Cell  96:  129.153       0.0162552
Cell  97:  123.255       0.0160225
Cell  98:   118.74       0.0147744
Cell  99:  118.329       0.0149088
Cell 100:  113.093        0.01816
Cell 101:  108.697       0.0162389
Cell 102:  106.728       0.0150477
Cell 103:  101.941       0.0154243
Cell 104:  99.3466       0.0157631
Cell 105:  95.5997       0.0158951
Cell 106:  94.6968       0.0187101
Cell 107:   89.841       0.016722
Cell 108:   85.184       0.0163872
Cell 109:  80.2324       0.0162403
Cell 110:  75.9793       0.0187343
Cell 111:  74.0039       0.0205514
Cell 112:  68.5134       0.0205655
Cell 113:  67.0731       0.0223153
Cell 114:  61.9935       0.0211233
Cell 115:  57.9299       0.0237805
Cell 116:  54.8049       0.0213903
Cell 117:  52.0993       0.0250302
Cell 118:  48.7139       0.0233849
Cell 119:  44.4713       0.0218586
Cell 120:   40.969       0.026582
Cell 121:  37.4188       0.0267707
Cell 122:  35.9069       0.0295812
Cell 123:  32.1629       0.0275782
Cell 124:  29.3459       0.0293219
Cell 125:  27.5049       0.0307589
Cell 126:   25.497       0.0359321
Cell 127:  24.1514       0.0345985
Cell 128:  21.8478       0.0353434
Cell 129:   19.584       0.0367665
Cell 130:  18.9893       0.0369784
Cell 131:  16.6622       0.0514041
Cell 132:  14.4643       0.0865403
Cell 133:  14.0871       0.128028
Cell 134:  10.3176       0.112674
Cell 135:  8.99973        0.11224
Cell 136:  6.89281       0.097971
Cell 137:  6.21079       0.134338
Cell 138:  5.32852        0.16367
Cell 139:  3.65749       0.118237
Cell 140:  2.63903       0.115119
Cell 141:   2.2341       0.127321
Cell 142:  1.85977       0.144539
Cell 143:  1.34436       0.180556
Cell 144:  1.44625        0.23159
Cell 145:  1.06965       0.225082
Cell 146: 0.743007       0.278089
Cell 147: 0.588615       0.313653
Cell 148: 0.558111       0.318724
Cell 149: 0.406282       0.360956
Cell 150: 0.305053       0.440398
Cell 151: 0.228899       0.525281
Cell 152: 0.175656       0.617963
Cell 153: 0.145627       0.706677
Cell 154:        0       -nan(ind)
Cell 155:        0       -nan(ind)
Cell 156:        0       -nan(ind)
Cell 157:        0       -nan(ind)
Cell 158:        0       -nan(ind)
Cell 159:        0       -nan(ind)
Cell 160:        0       -nan(ind)
